xmin,xmax,ymin,ymax,count,x_center,y_center
-117.47305079296876,-117.4302630328125,35.6472552234375,35.686511733984375,13,-117.45165691289063,35.666883478710936
-117.51583855312501,-117.47305079296876,35.686511733984375,35.72576824453125,25,-117.49444467304689,35.706139989257814
-117.47305079296876,-117.4302630328125,35.686511733984375,35.72576824453125,1,-117.45165691289063,35.706139989257814
-117.4302630328125,-117.3446875125,35.6472552234375,35.72576824453125,1,-117.38747527265625,35.686511733984375
-117.51583855312501,-117.4302630328125,35.72576824453125,35.804281265625,1,-117.47305079296876,35.76502475507813
-117.7725651140625,-117.72977735390626,35.84353777617187,35.88279428671875,2,-117.75117123398438,35.86316603144531
-117.72977735390626,-117.68698959375,35.84353777617187,35.88279428671875,25,-117.70838347382812,35.86316603144531
-117.7725651140625,-117.72977735390626,35.88279428671875,35.922050797265626,25,-117.75117123398438,35.90242254199219
-117.72977735390626,-117.71908041386719,35.88279428671875,35.892608414355465,8,-117.72442888388673,35.88770135053711
-117.71908041386719,-117.70838347382812,35.88279428671875,35.892608414355465,8,-117.71373194384765,35.88770135053711
-117.72977735390626,-117.71908041386719,35.892608414355465,35.90242254199219,9,-117.72442888388673,35.89751547817383
-117.71908041386719,-117.70838347382812,35.892608414355465,35.90242254199219,1,-117.71373194384765,35.89751547817383
-117.70838347382812,-117.68698959375,35.88279428671875,35.90242254199219,13,-117.69768653378907,35.892608414355465
-117.72977735390626,-117.70838347382812,35.90242254199219,35.922050797265626,15,-117.71908041386719,35.91223666962891
-117.70838347382812,-117.68698959375,35.90242254199219,35.922050797265626,10,-117.69768653378907,35.91223666962891
-117.7725651140625,-117.72977735390626,35.922050797265626,35.961307307812504,3,-117.75117123398438,35.941679052539065
-117.72977735390626,-117.68698959375,35.922050797265626,35.961307307812504,10,-117.70838347382812,35.941679052539065
-118.029291675,-117.85814063437499,35.961307307812504,36.11833335,10,-117.9437161546875,36.03982032890625
-117.85814063437499,-117.68698959375,35.961307307812504,36.11833335,21,-117.7725651140625,36.03982032890625
-117.68698959375,-117.64420183359374,35.804281265625,35.84353777617187,14,-117.66559571367188,35.82390952089844
-117.64420183359374,-117.6014140734375,35.804281265625,35.84353777617187,3,-117.62280795351562,35.82390952089844
-117.68698959375,-117.64420183359374,35.84353777617187,35.88279428671875,14,-117.66559571367188,35.86316603144531
-117.6014140734375,-117.51583855312501,35.804281265625,35.88279428671875,2,-117.55862631328125,35.84353777617187
-117.68698959375,-117.6014140734375,35.88279428671875,35.961307307812504,12,-117.64420183359374,35.922050797265626
-117.51583855312501,-117.3446875125,35.804281265625,35.961307307812504,5,-117.4302630328125,35.88279428671875
-117.68698959375,-117.51583855312501,35.961307307812504,36.11833335,1,-117.6014140734375,36.03982032890625
-117.3446875125,-116.66008335000001,35.49022918125,36.11833335,10,-117.00238543125,35.804281265625
-116.66008335000001,-115.97547918750001,33.605916675,34.23402084375,13,-116.31778126875001,33.919968759375
-115.97547918750001,-115.290875025,33.605916675,34.23402084375,3,-115.63317710625,33.919968759375
-116.66008335000001,-115.97547918750001,34.23402084375,34.8621250125,13,-116.31778126875001,34.548072928125
-116.66008335000001,-115.290875025,34.8621250125,36.11833335,2,-115.97547918750001,35.49022918125
-124.8753333,-122.13691664999999,36.11833335,38.630750025,23,-123.50612497499999,37.3745416875
